team_code,team,opponent,series_id,year,date,day_name,game_order,start_h_et,end_h_et,log_mins,result,round,series_result,last_game_date,last_game,expect,sponsor,stock_symbol,stock_exchange,industry,subsidiary,close_date,close_price0,open_date,open_price1,delta_pct,delta_pct_abs,game_conf,team_conf
BOS,"Boston Celtics","Milwaukee Bucks",14,2018,2018-04-17,Tuesday,2,20:00:00,22:16:00,136,W,"First Round",W,2018-04-28,0,Favorite,"General Electric",GE,NYSE,Conglomerate,0,2018-04-17,63.12896728515625,2018-04-18,63.540955098637866,0.6526129464793073,0.6526129464793073,East,East
BOS,"Boston Celtics","Milwaukee Bucks",14,2018,2018-04-24,Tuesday,5,19:00:00,21:32:00,152,W,"First Round",W,2018-04-28,0,Favorite,"General Electric",GE,NYSE,Conglomerate,0,2018-04-24,67.20328521728516,2018-04-25,67.3863983003344,0.27247638632129223,0.27247638632129223,East,East
BOS,"Boston Celtics","Milwaukee Bucks",14,2018,2018-04-26,Thursday,6,20:00:00,22:20:00,140,L,"First Round",W,2018-04-28,0,Favorite,"General Electric",GE,NYSE,Conglomerate,0,2018-04-26,65.82991790771484,2018-04-27,65.09745488943327,-1.112659777744821,1.112659777744821,East,East
BOS,"Boston Celtics","Philadelphia 76ers",5,2018,2018-04-30,Monday,1,20:00:00,22:22:00,142,W,"Conference Semi Final",W,2018-05-09,0,Underdog,"General Electric",GE,NYSE,Conglomerate,0,2018-04-30,64.41075897216797,2018-05-01,64.45655331166178,0.0710973449538107,0.0710973449538107,East,East
BOS,"Boston Celtics","Philadelphia 76ers",5,2018,2018-05-03,Thursday,2,20:30:00,22:53:00,143,W,"Conference Semi Final",W,2018-05-09,0,Underdog,"General Electric",GE,NYSE,Conglomerate,0,2018-05-03,63.769866943359375,2018-05-04,63.495172101556705,-0.4307596282843986,0.4307596282843986,East,East
BOS,"Boston Celtics","Philadelphia 76ers",5,2018,2018-05-07,Monday,4,18:00:00,20:27:00,147,W,"Conference Semi Final",W,2018-05-09,0,Underdog,"General Electric",GE,NYSE,Conglomerate,0,2018-05-07,64.41075897216797,2018-05-08,64.91431463764368,0.7817881259453927,0.7817881259453927,East,East
BOS,"Boston Celtics","Philadelphia 76ers",5,2018,2018-05-09,Wednesday,5,20:00:00,22:39:00,159,W,"Conference Semi Final",W,2018-05-09,1,Underdog,"General Electric",GE,NYSE,Conglomerate,0,2018-05-09,66.92860412597656,2018-05-10,67.56949931257894,0.957580387297562,0.957580387297562,East,East
BOS,"Boston Celtics","Cleveland Cavaliers",3,2018,2018-05-15,Tuesday,2,20:30:00,22:51:00,141,L,"Conference Final",L,2018-05-27,0,Underdog,"General Electric",GE,NYSE,Conglomerate,0,2018-05-15,67.34061431884766,2018-05-16,67.34063061545518,0.00002420026560701368,0.00002420026560701368,East,East
BOS,"Boston Celtics","Cleveland Cavaliers",3,2018,2018-05-21,Monday,4,20:30:00,23:00:00,150,L,"Conference Final",L,2018-05-27,0,Underdog,"General Electric",GE,NYSE,Conglomerate,0,2018-05-21,69.85844421386719,2018-05-22,70.45357342663029,0.8519073384187423,0.8519073384187423,East,East
BOS,"Boston Celtics","Cleveland Cavaliers",3,2018,2018-05-23,Wednesday,5,20:30:00,22:51:00,141,W,"Conference Final",L,2018-05-27,0,Underdog,"General Electric",GE,NYSE,Conglomerate,0,2018-05-23,64.91434478759766,2018-05-24,65.64681874225928,1.1283699420495004,1.1283699420495004,East,East
BOS,"Boston Celtics","Indiana Pacers",27,2019,2019-04-17,Wednesday,2,19:00:00,21:12:00,132,W,"First Round",W,2019-04-21,0,Favorite,"General Electric",GE,NYSE,Conglomerate,0,2019-04-17,44.3309211730957,2019-04-18,44.37953272145573,0.10965607542919922,0.10965607542919922,East,East
BOS,"Boston Celtics","Milwaukee Bucks",22,2019,2019-04-30,Tuesday,2,20:00:00,22:21:00,141,L,"Conference Semi Final",L,2019-05-08,0,Underdog,"General Electric",GE,NYSE,Conglomerate,0,2019-04-30,49.43482208251953,2019-05-01,49.3376047166899,-0.19665766302819399,0.19665766302819399,East,East
BOS,"Boston Celtics","Milwaukee Bucks",22,2019,2019-05-06,Monday,4,19:00:00,21:22:00,142,L,"Conference Semi Final",L,2019-05-08,0,Underdog,"General Electric",GE,NYSE,Conglomerate,0,2019-05-06,50.69862747192383,2019-05-07,50.26115251428032,-0.8628930988038614,0.8628930988038614,East,East
BOS,"Boston Celtics","Milwaukee Bucks",22,2019,2019-05-08,Wednesday,5,20:00:00,22:24:00,144,W,"Conference Semi Final",L,2019-05-08,1,Underdog,"General Electric",GE,NYSE,Conglomerate,0,2019-05-08,49.38621139526367,2019-05-09,49.14316048110121,-0.49214326690742927,0.49214326690742927,East,East
BOS,"Boston Celtics","Philadelphia 76ers",43,2020,2020-08-17,Monday,1,18:30:00,20:55:00,145,W,"First Round",W,2020-08-23,0,Favorite,"General Electric",GE,NYSE,Conglomerate,0,2020-08-17,31.621212005615234,2020-08-18,31.71896189127354,0.30912757436668736,0.30912757436668736,East,East
BOS,"Boston Celtics","Philadelphia 76ers",43,2020,2020-08-19,Wednesday,2,18:30:00,20:51:00,141,W,"First Round",W,2020-08-23,0,Favorite,"General Electric",GE,NYSE,Conglomerate,0,2020-08-19,31.181352615356445,2020-08-20,30.93698446227949,-0.7836996556608864,0.7836996556608864,East,East
BOS,"Boston Celtics","Toronto Raptors",37,2020,2020-09-01,Tuesday,2,17:30:00,19:56:00,146,L,"Conference Semi Final",W,2020-09-11,0,Underdog,"General Electric",GE,NYSE,Conglomerate,0,2020-09-01,30.25275421142578,2020-09-02,30.3016284218476,0.16155292863669118,0.16155292863669118,East,East
BOS,"Boston Celtics","Toronto Raptors",37,2020,2020-09-03,Thursday,3,18:30:00,20:54:00,144,L,"Conference Semi Final",W,2020-09-11,0,Underdog,"General Electric",GE,NYSE,Conglomerate,0,2020-09-03,30.888107299804688,2020-09-04,31.42572709345511,1.7405397761416763,1.7405397761416763,East,East
BOS,"Boston Celtics","Toronto Raptors",37,2020,2020-09-09,Wednesday,6,18:30:00,21:31:00,181,L,"Conference Semi Final",W,2020-09-11,0,Underdog,"General Electric",GE,NYSE,Conglomerate,0,2020-09-09,30.106128692626953,2020-09-10,30.15500545168279,0.16234820343343173,0.16234820343343173,East,East
BOS,"Boston Celtics","Miami Heat",33,2020,2020-09-15,Tuesday,1,18:30:00,21:11:00,161,L,"Conference Final",L,2020-09-27,0,Favorite,"General Electric",GE,NYSE,Conglomerate,0,2020-09-15,29.81289291381836,2020-09-16,29.8128977752604,0.0000163065089124077,0.0000163065089124077,East,East
BOS,"Boston Celtics","Miami Heat",33,2020,2020-09-17,Thursday,2,19:00:00,21:22:00,142,L,"Conference Final",L,2020-09-27,0,Favorite,"General Electric",GE,NYSE,Conglomerate,0,2020-09-17,34.45588302612305,2020-09-18,33.82051939134115,-1.8439917337198686,1.8439917337198686,East,East
BOS,"Boston Celtics","Miami Heat",33,2020,2020-09-23,Wednesday,4,20:30:00,23:05:00,155,L,"Conference Final",L,2020-09-27,0,Favorite,"General Electric",GE,NYSE,Conglomerate,0,2020-09-23,29.861764907836914,2020-09-24,29.812888056187962,-0.16367703583429172,0.16367703583429172,East,East
BOS,"Boston Celtics","Brooklyn Nets",58,2021,2021-05-25,Tuesday,2,19:30:00,21:45:00,135,L,"First Round",L,2021-06-01,0,Underdog,Vistaprint,CMPR,NASDAQ,E-commerce,1,2021-05-25,95.18000030517578,2021-05-26,95.51000213623047,0.3467134166806074,0.3467134166806074,East,East
BOS,"Boston Celtics","Brooklyn Nets",58,2021,2021-06-01,Tuesday,5,19:30:00,21:52:00,142,L,"First Round",L,2021-06-01,1,Underdog,Vistaprint,CMPR,NASDAQ,E-commerce,1,2021-06-01,99.04000091552734,2021-06-02,99.61000061035156,0.5755247269336959,0.5755247269336959,East,East
BOS,"Boston Celtics","Brooklyn Nets",73,2022,2022-04-20,Wednesday,2,19:00:00,21:35:00,155,W,"First Round",W,2022-04-25,0,Favorite,Vistaprint,CMPR,NASDAQ,E-commerce,1,2022-04-20,62.81999969482422,2022-04-21,63.4900016784668,1.0665424815304163,1.0665424815304163,East,East
BOS,"Boston Celtics","Brooklyn Nets",73,2022,2022-04-25,Monday,4,19:00:00,21:30:00,150,W,"First Round",W,2022-04-25,1,Favorite,Vistaprint,CMPR,NASDAQ,E-commerce,1,2022-04-25,60.119998931884766,2022-04-26,59.5099983215332,-1.0146384251315204,1.0146384251315204,East,East
