team_code,date,start_h_et,end_h_et,log_mins,opponent,tm,opp,w,l,streak
BOS,2020-08-30,13:00,15:24,144.0,Toronto Raptors,112,94,5,0,W 5
BOS,2020-09-01,17:30,19:56,146.0,Toronto Raptors,102,99,6,0,W 6
BOS,2020-09-03,18:30,20:54,144.0,Toronto Raptors,103,104,6,1,L 1
BOS,2020-09-05,18:30,20:57,147.0,Toronto Raptors,93,100,6,2,L 2
BOS,2020-09-07,18:30,20:48,138.0,Toronto Raptors,111,89,7,2,W 1
BOS,2020-09-09,18:30,21:31,181.0,Toronto Raptors,122,125,7,3,L 1
BOS,2020-09-11,21:00,23:22,142.0,Toronto Raptors,92,87,8,3,W 1
BOS,2020-09-15,18:30,21:11,161.0,Miami Heat,114,117,8,4,L 1
BOS,2020-09-17,19:00,21:22,142.0,Miami Heat,101,106,8,5,L 2
BOS,2020-09-19,20:30,22:59,149.0,Miami Heat,117,106,9,5,W 1
BOS,2020-09-23,20:30,23:05,155.0,Miami Heat,109,112,9,6,L 1
BOS,2020-09-25,20:30,23:05,155.0,Miami Heat,121,108,10,6,W 1
BOS,2020-09-27,19:30,21:49,139.0,Miami Heat,113,125,10,7,L 1
BOS,2021-05-22,20:00,22:23,143.0,Brooklyn Nets,93,104,0,1,L 1
BOS,2021-05-25,19:30,21:45,135.0,Brooklyn Nets,108,130,0,2,L 2
BOS,2021-05-28,20:30,23:05,155.0,Brooklyn Nets,125,119,1,2,W 1
BOS,2021-05-30,19:00,21:28,148.0,Brooklyn Nets,126,141,1,3,L 1
BOS,2021-06-01,19:30,21:52,142.0,Brooklyn Nets,109,123,1,4,L 2
BOS,2022-04-17,15:30,17:54,144.0,Brooklyn Nets,115,114,1,0,W 1
BOS,2022-04-20,19:00,21:35,155.0,Brooklyn Nets,114,107,2,0,W 2
BOS,2022-04-23,19:30,21:47,137.0,Brooklyn Nets,109,103,3,0,W 3
BOS,2022-04-25,19:00,21:30,150.0,Brooklyn Nets,116,112,4,0,W 4
BOS,2022-05-01,13:00,15:28,148.0,Milwaukee Bucks,89,101,4,1,L 1
BOS,2022-05-03,19:00,21:31,151.0,Milwaukee Bucks,109,86,5,1,W 1
BOS,2022-05-07,15:30,18:04,154.0,Milwaukee Bucks,101,103,5,2,L 1
BOS,2022-05-09,19:30,22:03,153.0,Milwaukee Bucks,116,108,6,2,W 1
BOS,2022-05-11,19:00,21:31,151.0,Milwaukee Bucks,107,110,6,3,L 1
BOS,2022-05-13,19:30,21:57,147.0,Milwaukee Bucks,108,95,7,3,W 1
BOS,2022-05-15,15:30,17:57,147.0,Milwaukee Bucks,109,81,8,3,W 2
BOS,2022-05-17,20:30,23:09,159.0,Miami Heat,107,118,8,4,L 1
BOS,2022-05-19,20:30,22:46,136.0,Miami Heat,127,102,9,4,W 1
BOS,2022-05-21,20:30,23:07,157.0,Miami Heat,103,109,9,5,L 1
BOS,2022-05-23,20:30,22:50,140.0,Miami Heat,102,82,10,5,W 1
BOS,2022-05-25,20:30,22:50,140.0,Miami Heat,93,80,11,5,W 2
BOS,2022-05-27,20:30,23:11,161.0,Miami Heat,103,111,11,6,L 1
BOS,2022-05-29,20:30,23:00,150.0,Miami Heat,100,96,12,6,W 1
BOS,2022-06-02,21:00,23:19,139.0,Golden State Warriors,120,108,13,6,W 2
BOS,2022-06-05,20:00,22:28,148.0,Golden State Warriors,88,107,13,7,L 1
BOS,2022-06-08,21:00,23:26,146.0,Golden State Warriors,116,100,14,7,W 1
BOS,2022-06-10,21:00,23:21,141.0,Golden State Warriors,97,107,14,8,L 1
BOS,2022-06-13,21:00,23:27,147.0,Golden State Warriors,94,104,14,9,L 2
BOS,2022-06-16,21:00,23:20,140.0,Golden State Warriors,90,103,14,10,L 3
BOS,2023-04-15,15:30,17:44,134.0,Atlanta Hawks,112,99,1,0,W 1
BOS,2023-04-18,19:00,21:03,123.0,Atlanta Hawks,119,106,2,0,W 2
BOS,2023-04-21,19:00,21:19,139.0,Atlanta Hawks,122,130,2,1,L 1
BOS,2023-04-23,19:00,21:28,148.0,Atlanta Hawks,129,121,3,1,W 1
BOS,2023-04-25,19:30,21:48,138.0,Atlanta Hawks,117,119,3,2,L 1
BOS,2023-04-27,20:30,22:54,144.0,Atlanta Hawks,128,120,4,2,W 1
BOS,2023-05-01,19:30,21:46,136.0,Philadelphia 76ers,115,119,4,3,L 1
BOS,2023-05-03,20:00,22:13,133.0,Philadelphia 76ers,121,87,5,3,W 1
BOS,2023-05-05,19:30,21:52,142.0,Philadelphia 76ers,114,102,6,3,W 2
BOS,2023-05-07,15:30,18:05,155.0,Philadelphia 76ers,115,116,6,4,L 1
BOS,2023-05-09,19:30,21:55,145.0,Philadelphia 76ers,103,115,6,5,L 2
BOS,2023-05-11,19:30,21:50,140.0,Philadelphia 76ers,95,86,7,5,W 1
BOS,2023-05-14,15:30,17:53,143.0,Philadelphia 76ers,112,88,8,5,W 2
BOS,2023-05-17,20:30,22:48,138.0,Miami Heat,116,123,8,6,L 1
BOS,2023-05-19,20:30,22:52,142.0,Miami Heat,105,111,8,7,L 2
BOS,2023-05-21,20:30,22:46,136.0,Miami Heat,102,128,8,8,L 3
BOS,2023-05-23,20:30,22:52,142.0,Miami Heat,116,99,9,8,W 1
BOS,2023-05-25,20:30,22:38,128.0,Miami Heat,110,97,10,8,W 2
BOS,2023-05-27,20:30,23:10,160.0,Miami Heat,104,103,11,8,W 3
BOS,2023-05-29,20:30,22:40,130.0,Miami Heat,84,103,11,9,L 1
BOS,2024-04-21,13:00,15:09,129.0,Miami Heat,114,94,1,0,W 1
BOS,2024-04-24,19:00,21:19,139.0,Miami Heat,101,111,1,1,L 1
BOS,2024-04-27,18:00,20:11,131.0,Miami Heat,104,84,2,1,W 1
BOS,2024-04-29,19:30,21:50,140.0,Miami Heat,102,88,3,1,W 2
BOS,2024-05-01,19:30,21:41,131.0,Miami Heat,118,84,4,1,W 3
BOS,2024-05-07,19:00,21:09,129.0,Cleveland Cavaliers,120,95,5,1,W 4
BOS,2024-05-09,19:00,21:14,134.0,Cleveland Cavaliers,94,118,5,2,L 1
BOS,2024-05-11,20:30,22:41,131.0,Cleveland Cavaliers,106,93,6,2,W 1
BOS,2024-05-13,19:00,21:22,142.0,Cleveland Cavaliers,109,102,7,2,W 2
BOS,2024-05-15,19:00,21:14,134.0,Cleveland Cavaliers,113,98,8,2,W 3
BOS,2024-05-21,20:00,22:46,166.0,Indiana Pacers,133,128,9,2,W 4
BOS,2024-05-23,20:00,22:21,141.0,Indiana Pacers,126,110,10,2,W 5
BOS,2024-05-25,20:30,22:55,145.0,Indiana Pacers,114,111,11,2,W 6
BOS,2024-05-27,20:00,22:22,142.0,Indiana Pacers,105,102,12,2,W 7
BOS,2024-06-06,20:30,22:42,132.0,Dallas Mavericks,107,89,13,2,W 8
BOS,2024-06-09,20:00,22:18,138.0,Dallas Mavericks,105,98,14,2,W 9
BOS,2024-06-12,20:30,22:51,141.0,Dallas Mavericks,106,99,15,2,W 10
BOS,2024-06-14,20:30,22:52,142.0,Dallas Mavericks,84,122,15,3,L 1
BOS,2024-06-17,20:30,22:51,141.0,Dallas Mavericks,106,88,16,3,W 1
BRK,2019-04-13,14:30,17:04,154.0,Philadelphia 76ers,111,102,1,0,W 1
BRK,2019-04-15,20:00,22:28,148.0,Philadelphia 76ers,123,145,1,1,L 1
BRK,2019-04-18,20:00,22:30,150.0,Philadelphia 76ers,115,131,1,2,L 2
BRK,2019-04-20,15:00,17:33,153.0,Philadelphia 76ers,108,112,1,3,L 3
BRK,2019-04-23,20:00,22:18,138.0,Philadelphia 76ers,100,122,1,4,L 4
BRK,2020-08-17,16:00,18:26,146.0,Toronto Raptors,110,134,0,1,L 1
BRK,2020-08-19,13:30,16:02,152.0,Toronto Raptors,99,104,0,2,L 2
BRK,2020-08-21,13:30,15:38,128.0,Toronto Raptors,92,117,0,3,L 3
BRK,2020-08-23,18:30,20:50,140.0,Toronto Raptors,122,150,0,4,L 4
BRK,2021-05-22,20:00,22:23,143.0,Boston Celtics,104,93,1,0,W 1
BRK,2021-05-25,19:30,21:45,135.0,Boston Celtics,130,108,2,0,W 2
BRK,2021-05-28,20:30,23:05,155.0,Boston Celtics,119,125,2,1,L 1
BRK,2021-05-30,19:00,21:28,148.0,Boston Celtics,141,126,3,1,W 1
BRK,2021-06-01,19:30,21:52,142.0,Boston Celtics,123,109,4,1,W 2
BRK,2021-06-05,19:30,21:50,140.0,Milwaukee Bucks,115,107,5,1,W 3
BRK,2021-06-07,19:30,21:37,127.0,Milwaukee Bucks,125,86,6,1,W 4
BRK,2021-06-10,19:30,21:55,145.0,Milwaukee Bucks,83,86,6,2,L 1
BRK,2021-06-13,15:00,17:25,145.0,Milwaukee Bucks,96,107,6,3,L 2
BRK,2021-06-15,20:30,23:01,151.0,Milwaukee Bucks,114,108,7,3,W 1
BRK,2021-06-17,20:30,22:51,141.0,Milwaukee Bucks,89,104,7,4,L 1
BRK,2021-06-19,20:30,23:24,174.0,Milwaukee Bucks,111,115,7,5,L 2
BRK,2022-04-17,15:30,17:54,144.0,Boston Celtics,114,115,0,1,L 1
